2018;1460
2010;1462
2007;1461
2005;1459
2001;1459
2001;1462
1996;1462
1993;1458
1989;1460
1989;1462
1984;1463
1980;1466
1978;1465
1978;1463
1962;1461
1960;1464
1952;1463
1949;1467
1940;1466
1931;1468
1929;1470
1926;1470
1921;1474
1920;1477
1917;1477
1916;1474
1913;1478
1911;1477
1904;1481
1904;1484
1902;1483
1901;1487
1898;1485
1894;1488;st
1900;1492
1898;1494
1900;1496
1901;1501
1900;1507
1901;1509
1901;1513
1902;1515
1902;1517
1908;1523
1905;1525
1906;1527
1894;1527
1891;1527
1888;1527
1887;1530
1887;1533
1879;1535
1878;1538
1876;1541
1879;1544
1865;1548
1862;1556
1848;1560
1846;1560
1845;1562
1838;1561
1837;1564
1821;1573
1821;1591
1933;1669
1933;1673
1938;1676
1940;1679
1942;1680
1945;1679
1949;1682
1956;1684
1957;1687
1955;1693
1957;1694
1986;1689
2006;1671
2056;1639
2053;1630
2050;1631
2047;1628
2043;1627
2038;1627
2036;1624
2034;1622
2034;1616
2026;1606
2033;1600
2033;1596
2031;1592
2033;1584
2031;1579
2032;1567
2026;1554
2028;1553
2023;1531
2016;1524
2013;1516
2008;1514
2008;1511
2005;1507
2005;1501
2008;1500
2010;1496
2013;1496
2014;1493
2013;1490
2016;1487
2014;1484
2016;1481
2013;1478
2015;1469
2013;1468
2016;1466
2018;1462;sl
qst;coaLibya##medium#LibyaFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Libya;10;easy;Tenth-largest country in the world, and the largest in Africa and in the Mediterranean. Capital: Algiers##spn#fra#ger;Africa#East by Libya
058;1980
2058;1976;st
2056;1972
2058;1969;sl
2061;1967
2063;1967
2066;1964
2069;1967
2067;1969
2065;1971
2063;1972
2062;1972
2062;1975
2062;1978
2062;1980
2058;1981
inf;UnDefRegion;AngolaCambiaNU;10;notUsed;eng#nor#spn#fra#ger
2052;2112
2053;2106
2052;2097
2056;2094
2057;2085
2059;2082
2059;2073
2062;2073
2062;2067
2066;2063
2065;2060
2071;2057
2075;2052
2075;2044
2075;2036
2074;2034
2070;2028
2068;2025
2069;2021
2064;2016
2072;2013
2069;2007
2066;2002
2065;1996
2065;1994
2062;1991
2059;1984;st
2065;1982
2069;1981
2075;1981
2107;1982
2109;1985
2109;1988
2110;1989
2113;1994
2112;1997
2115;2000
2118;2005
2119;2007
2125;2007
2132;2005
2134;2006
2140;2007
2139;2003
2142;2001
2141;1998
2143;1994
2147;1994
2154;1994
2153;1997
2163;1998
2167;1999
2168;2000
2167;2005
2169;2013
2168;2019
2167;2024
2172;2029
2173;2033
2173;2036
2174;2039
2172;2040
2173;2043
2177;2041
2180;2042
2183;2042
2187;2040
2192;2041
2193;2042
2194;2047
2193;2049
2193;2052
2192;2054
2194;2057
2191;2060
2192;2064
2170;2064
2170;2102
2171;2106
2185;2118
2166;2123
2163;2123
2160;2122
2157;2123
2150;2121
2145;2123
2144;2121
2135;2121
2129;2116
2078;2116
2070;2110
2061;2115
2053;2113;sl
qst;coaAngola##medium#AngolaFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Angola;10;easy;Has vast mineral and petroleum reserves. Capital: Luanda##spn#fra#ger;Africa#Bordered by the Democratic Republic of the Congo on the north;;AngolaCambiaNU
1951;1842
1946;1843
1941;1844
1939;1846
1940;1843
1937;1838
1939;1831
1939;1819
1938;1810
1935;1805
1935;1800
1929;1796
1930;1790
1933;1787
1937;1784
1941;1784
1944;1783
1947;1779
1947;1774
1949;1774
1952;1773
1955;1776
1961;1781
1960;1785
1962;1788
1963;1795
1961;1796
1961;1798
1961;1800
1958;1804
1955;1806
1955;1811
1951;1812
1951;1819
1951;1822
1950;1826
1951;1831
1951;1840
qst;coaBenin##medium#BeninFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Benin;10;easy;A Marxist-Leninist state called the People's Republic of Benin existed between 1972 and 1990. A majority of the population live on its small southern coastline. Capital: Porto-Novo##spn#fra#ger;Africa#Small stripe
2206;2120;st
2204;2120
2200;2123
2196;2122
2188;2129
2185;2124
2176;2124
2167;2127
2164;2127
2158;2127
2158;2170
2147;2172
2147;2184
2147;2205
2152;2211
2154;2214
2156;2217
2157;2221
2156;2224
2154;2227
2155;2231
2156;2232
2158;2232
2162;2232
2164;2233
2167;2231
2170;2229
2174;2226
2178;2223
2179;2216
2180;2213
2184;2212
2188;2214
2191;2216
2195;2216
2199;2219
2202;2219
2208;2218
2211;2216
2213;2210
2215;2205
2219;2204
2223;2201
2225;2198
2226;2193
2227;2191
2231;2189
2234;2187
2236;2184
2241;2180
2243;2177
2249;2177
2251;2174
2254;2173
2251;2172
2250;2169
2238;2166
2235;2160
2235;2154
2231;2153
2230;2149
2222;2146
2219;2143
2217;2142
2216;2138
2215;2135
2214;2133
2213;2130
2209;2125
2208;2124
2207;2120;sl
qst;coaBotswana##medium#BotswanaFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Botswana;10;easy;Botswana is flat, with up to 70 percent of its territory being the Kalahari Desert. This country is among the hardest hit by the HIV/AIDS epidemic. Capital: Gaborone##spn#fra#ger;Africa#Southern Africa middle
1857;1797
1860;1797
1862;1800
1865;1802
1865;1804
1867;1804
1869;1805
1873;1802
1878;1802
1883;1801
1889;1808
1888;1798
1887;1792
1888;1789
1900;1790
1912;1789
1915;1787
1921;1788
1927;1789
1931;1789
1933;1786
1937;1783
1942;1784
1946;1781
1947;1778
1944;1774
1945;1771
1943;1768
1941;1770
1939;1770
1934;1768
1931;1764
1931;1761
1929;1758
1926;1756
1924;1754
1925;1750
1921;1747
1922;1743
1911;1741
1909;1744
1897;1747
1895;1751
1887;1754
1887;1758
1882;1757
1883;1761
1878;1763
1874;1761
1871;1763
1871;1768
1870;1770
1868;1772
1868;1776
1862;1777
1858;1780
1860;1782
1859;1786
1857;1788
1858;1791
1857;1795
qst;coaBurkinaFaso##medium#BurkinaFasoFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Burkina Faso;10;Independence from France in 1960. Capital: Ouagadougou##spn#fra#ger;Africa#Mali to the north, Niger to the east, Benin to the southeast
2250;1947;st
2252;1950
2253;1953
2252;1958
2252;1960
2254;1961
2254;1965
2257;1965
2260;1964
2263;1961
2263;1960
2265;1960
2266;1956
2269;1953
2270;1952
2270;1948
2268;1945
2268;1943
2266;1942
2262;1942
2260;1942
2259;1946
2257;1947
2255;1947
2254;1945
2251;1944
2249;1946;sl
qst;coaBurundi##medium#BurundiFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Burundi;10;easy;Burundi is one of the five poorest countries in the world. Capital: Bujumbura##spn#fra#ger;Africa#Landlocked country in the African Great Lakes region
2030;1887
2032;1890
2047;1890
2050;1888
2070;1890
2072;1891
2081;1890
2087;1890
2089;1892
2094;1891
2094;1893
2098;1892
2103;1896
2103;1891
2104;1889
2103;1887
2102;1882
2091;1870
2093;1867
2087;1862
2087;1856
2085;1854
2086;1852
2086;1848
2085;1846
2089;1841
2092;1834
2097;1829
2097;1826
2096;1824
2094;1816
2089;1814
2088;1814
2081;1806
2079;1804
2081;1800
2085;1800
2089;1800
2091;1800
2096;1801
2098;1799
2094;1796
2092;1794
2090;1788
2092;1783
2092;1779
2089;1774
2089;1770
2086;1768
2084;1764
2080;1764
2081;1772
2083;1773
2086;1774
2085;1780
2086;1782
2081;1785
2078;1786
2075;1790
2073;1798
2070;1800
2071;1804
2066;1808
2066;1812
2064;1815
2059;1819
2059;1823
2058;1826
2056;1829
2054;1831
2054;1833
2052;1836
2051;1839
2047;1840
2046;1838
2044;1838
2042;1834
2041;1833
2038;1835
2038;1837
2035;1835
2031;1838
2030;1840
2027;1841
2023;1845
2020;1848
2020;1851
2021;1854
2019;1859
2018;1861
2018;1864
2023;1867
2022;1869
2028;1870
2028;1873
2031;1876
2031;1882
2030;1887
qst;coaCameroon##medium#CameroonFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Cameroon;10;easy;Compared with other African countries, Cameroon enjoys relatively high political and social stability. Capital: Yaoundé##spn#fra#ger;hint1#hint2
1714;1571
1714;1575
1715;1577
1719;1580
1715;1583
1712;1584
1712;1586
1713;1587
1715;1587
1717;1585
1717;1583
1722;1582
1723;1582
1725;1581
1728;1580
1729;1583
1731;1582
1733;1580
1738;1582
1739;1584
1740;1586
1744;1586
1745;1583
1754;1582
1757;1582
1761;1580
1762;1576
1763;1573
1762;1572
1765;1570
1767;1568
1767;1566
1763;1567
1762;1569
1761;1571
1760;1573
1759;1575
1758;1578
1756;1579
1754;1580
1745;1581
1744;1580
1740;1580
1739;1581
1734;1578
1736;1575
1734;1574
1732;1574
1732;1576
1729;1577
1727;1577
1727;1578
1724;1579
1722;1579
1717;1576
1718;1574
1718;1572
1715;1570
inf;State;Canary islands;10;easy;The Canaries are one of Spain's 17 autonomous communities. Mount Teide on Tenerife, the highest mountain in Spain.##spn#fra#ger;Africa#Northwest coast of mainland Africa
1648;1738
1636;1742
1637;1744
1641;1745
1644;1744
1651;1743
1657;1740
1657;1737
1659;1730
1662;1730
1661;1727
1660;1724
1659;1719
1658;1719
1657;1722
1658;1727
1646;1724
1646;1722
1642;1722
1636;1718
1636;1716
1633;1715
1630;1717
1630;1719
1631;1720
1634;1720
1641;1723
1643;1724
1658;1729
1657;1731
1650;1735
qst;coaCapeVerde##medium#CapeVerdeFlag.png#What county is represented by this flag##spn#fra#ger##
inf;State;Cape Verde;10;easy;Independence from Portugal in 1975. Capital: Praia##spn#fra#ger;Africa#Island country
2180;1789
2181;1792
2185;1796
2188;1800
2189;1804
2189;1808
2187;1812
2188;1813
2188;1815
2196;1816
2194;1819
2195;1820
2202;1822
2205;1823
2207;1825
2206;1829
2214;1834
2219;1838
2219;1842
2221;1845
2226;1847
2228;1849
2230;1852
2231;1857
2228;1855
2224;1857
2222;1857
2218;1855
2214;1856
2211;1854
2208;1855
2208;1857
2202;1858
2197;1856
2186;1862
2181;1861
2177;1865
2177;1867
2172;1868
2168;1864
2160;1866
2156;1863
2150;1861
2139;1861
2135;1862
2133;1866
2132;1871
2132;1873
2126;1874
2124;1873
2119;1872
2114;1875
2109;1874
2107;1881
2107;1884
2104;1889
